station_origin,station_destination,flows,population,jobs,distance
Green Park,Leicester Square,11,2066,8847,1152.317493
Leicester Square,Green Park,17,985,26754,1152.317493
Acton Central,South Acton,7,1224,975,1152.52727
South Acton,Acton Central,6,644,750,1152.52727
Seven Sisters,Tottenham Hale,169,18780,3239,1153.539168
Tottenham Hale,Seven Sisters,162,8867,10191,1153.539168
Canning Town,East India,693,21125,1522,1155.218499
East India,Canning Town,429,1760,15428,1155.218499
Aldgate,Moorgate,112,2886,24574,1156.171531
Moorgate,Aldgate,353,4416,7782,1156.171531
Sloane Square,Victoria,76,4957,33251,1165.759013
Victoria,Sloane Square,323,37517,8229,1165.759013
Covent Garden,Embankment,0,424,10220,1167.936936
Embankment,Covent Garden,0,4081,4355,1167.936936
Farringdon,Moorgate,592,5052,24574,1168.19831
Moorgate,Farringdon,386,4416,25592,1168.19831
Battersea Park,Wandsworth Road,0,0,498,1168.489261
Wandsworth Road,Battersea Park,0,617,0,1168.489261
Barkingside,Fairlop,0,1301,182,1168.729836
Fairlop,Barkingside,1,995,262,1168.729836
Cannon Street,Tower Hill,317,3874,8286,1169.043159
Tower Hill,Cannon Street,163,8501,4698,1169.043159
Cannon Street,Liverpool Street,74,3874,61122,1170.8154
Liverpool Street,Cannon Street,45,31473,4698,1170.8154
Balham,Clapham South,59,9619,1513,1172.634601
Clapham South,Balham,131,6636,3814,1172.634601
Sloane Square,South Kensington,92,4957,15325,1173.222372
South Kensington,Sloane Square,45,5030,8229,1173.222372
Abbey Road,Stratford,285,599,55954,1174.511375
Stratford,Abbey Road,223,59311,345,1174.511375
Tottenham Court Road,Warren Street,11,1773,17309,1177.045379
Warren Street,Tottenham Court Road,35,1913,19126,1177.045379
Belsize Park,Hampstead,45,2744,2010,1178.003104
Hampstead,Belsize Park,9,1914,2255,1178.003104
Cannon Street,St. Paul's,0,3874,13446,1178.837557
Angel,King's Cross St. Pancras,95,4199,33330,1180.318721
King's Cross St. Pancras,Angel,135,28307,8103,1180.318721
Redbridge,Wanstead,21,2062,419,1180.385556
Wanstead,Redbridge,3,1985,198,1180.385556
East Acton,North Acton,38,2356,3168,1180.519316
North Acton,East Acton,40,3078,1505,1180.519316
Canonbury,Dalston Kingsland,4,2410,2091,1181.178341
Dalston Kingsland,Canonbury,5,2890,846,1181.178341
Kilburn,Willesden Green,15,4630,830,1185.05793
Willesden Green,Kilburn,85,5675,1953,1185.05793
Penge West,Sydenham,1,362,515,1185.270599
Sydenham,Penge West,1,1826,150,1185.270599
Stratford High Street,West Ham,95,379,5487,1189.053723
West Ham,Stratford High Street,251,8879,788,1189.053723
Limehouse,Shadwell,337,5348,7447,1192.503733
Shadwell,Limehouse,202,6741,2969,1192.503733
Shoreditch High Street,Whitechapel,145,930,17633,1195.821447
Whitechapel,Shoreditch High Street,593,12281,7558,1195.821447
Chancery Lane,Covent Garden,2,1148,4355,1198.424284
Covent Garden,Chancery Lane,1,424,15391,1198.424284
Edmonton Green,Silver Street,4,2079,953,1198.454676
Silver Street,Edmonton Green,4,1625,783,1198.454676
Silver Street,White Hart Lane,10,1625,641,1199.921359
White Hart Lane,Silver Street,2,1032,953,1199.921359
Hackney Downs,Rectory Road,2,843,219,1201.022377
Rectory Road,Hackney Downs,5,953,835,1201.022377
Green Park,Victoria,118,2066,33251,1209.599809
Victoria,Green Park,1989,37517,26754,1209.599809
Stamford Hill,Stoke Newington,10,491,479,1211.470083
Stoke Newington,Stamford Hill,1,1096,352,1211.470083
Bromley-by-Bow,West Ham,67,2555,5487,1212.245543
West Ham,Bromley-by-Bow,88,8879,1613,1212.245543
Bruce Grove,White Hart Lane,2,961,641,1213.423888
White Hart Lane,Bruce Grove,13,1032,350,1213.423888
Ladbroke Grove,Wood Lane,56,2371,1578,1213.44261
Wood Lane,Ladbroke Grove,59,1088,2131,1213.44261
Leyton Midland Road,Leytonstone High Road,12,850,314,1214.097007
Leytonstone High Road,Leyton Midland Road,14,624,445,1214.097007
Crouch Hill,Upper Holloway,6,390,898,1214.896341
Upper Holloway,Crouch Hill,3,372,404,1214.896341
Cannon Street,London Bridge,2,3874,29930,1216.041087
London Bridge,Cannon Street,9,32597,4698,1216.041087
Lancaster Gate,Marble Arch,52,3514,6145,1218.602185
Marble Arch,Lancaster Gate,10,1808,1820,1218.602185
Hornchurch,Upminster Bridge,12,1708,568,1226.92948
Upminster Bridge,Hornchurch,5,780,451,1226.92948
Brockley,New Cross Gate,15,2322,1340,1229.079657
New Cross Gate,Brockley,4,1702,468,1229.079657
Lambeth North,Southwark,1,1114,10326,1230.115986
Southwark,Lambeth North,1,4882,1319,1230.115986
Goodge Street,Leicester Square,10,366,8847,1230.412741
Leicester Square,Goodge Street,9,985,6457,1230.412741
Beckton,Gallions Reach,3,1179,557,1236.248276
Gallions Reach,Beckton,3,636,442,1236.248276
Finchley Central,West Finchley,7,6268,91,1236.790948
West Finchley,Finchley Central,23,1550,1921,1236.790948
Bank and Monument,Blackfriars,473,29494,10849,1237.755718
Blackfriars,Bank and Monument,841,6781,78549,1237.755718
Marble Arch,Oxford Circus,30,1808,44368,1237.7768
Oxford Circus,Marble Arch,11,2784,6145,1237.7768
Harrow-on-the-Hill,West Harrow,3,6326,122,1241.86869
West Harrow,Harrow-on-the-Hill,27,1021,3019,1241.86869
Kingsbury,Queensbury,23,2727,439,1245.995234
Queensbury,Kingsbury,36,2905,1018,1245.995234
Dollis Hill,Willesden Green,25,2542,830,1246.109382
Willesden Green,Dollis Hill,14,5675,847,1246.109382
Crossharbour,Heron Quays,239,1724,5975,1248.389353
Heron Quays,Crossharbour,59,1788,1208,1248.389353
Clapham Common,Clapham South,26,4909,1513,1252.318233
Clapham South,Clapham Common,15,6636,2020,1252.318233
Heron Quays,Westferry,4,1788,1250,1255.772211
Westferry,Heron Quays,30,2205,5975,1255.772211
Forest Hill,Honor Oak Park,6,2430,341,1258.063974
Honor Oak Park,Forest Hill,42,1750,608,1258.063974
Langdon Park,Poplar,13,1468,1301,1258.405937
Poplar,Langdon Park,95,2271,1989,1258.405937
Chancery Lane,Russell Square,1,1148,5172,1271.918028
Russell Square,Chancery Lane,4,1509,15391,1271.918028
Acton Town,Chiswick Park,20,3745,1517,1274.944807
Chiswick Park,Acton Town,5,1283,2202,1274.944807
Shadwell,Tower Gateway,87,6741,3342,1277.303487
Tower Gateway,Shadwell,15,853,7447,1277.303487
Camden Town,Kentish Town,106,3330,3404,1277.965643
Kentish Town,Camden Town,71,2414,6348,1277.965643
Dagenham East,Dagenham Heathway,36,1924,1108,1279.227789
Dagenham Heathway,Dagenham East,23,3372,649,1279.227789
Colliers Wood,Tooting Broadway,143,5553,4506,1280.419684
Tooting Broadway,Colliers Wood,48,9546,865,1280.419684
Arsenal,Caledonian Road,14,2158,1803,1282.006579
Caledonian Road,Arsenal,5,2839,315,1282.006579
Oval,Stockwell,10,3619,1623,1284.024538
Stockwell,Oval,16,10667,2544,1284.024538
Chadwell Heath,Goodmayes,11,3912,683,1284.179917
Goodmayes,Chadwell Heath,4,3119,561,1284.179917
Liverpool Street,Old Street,55,31473,15897,1287.607167
Old Street,Liverpool Street,12,5364,61122,1287.607167
Dalston Kingsland,Hackney Central,14,2890,2440,1289.756244
Hackney Central,Dalston Kingsland,22,3370,2091,1289.756244
Deptford Bridge,Lewisham,282,2486,2400,1291.046242
Lewisham,Deptford Bridge,165,7868,840,1291.046242
Cyprus,Royal Albert,8,500,684,1294.336626
Royal Albert,Cyprus,2,650,850,1294.336626
East Ham,Upton Park,56,7902,1642,1300.245827
Upton Park,East Ham,60,5963,2062,1300.245827
Shepherd's Bush,White City,199,10511,5966,1300.501093
White City,Shepherd's Bush,60,2445,9890,1300.501093
Knightsbridge,South Kensington,6,1125,15325,1300.815319
South Kensington,Knightsbridge,16,5030,6821,1300.815319
Earl's Court,High Street Kensington,73,8414,5427,1300.860111
High Street Kensington,Earl's Court,18,2159,6613,1300.860111
Harrow-on-the-Hill,Northwick Park,33,6326,1713,1303.131857
Northwick Park,Harrow-on-the-Hill,51,2114,3019,1303.131857
Forest Gate,Maryland,5,2405,350,1303.759071
Maryland,Forest Gate,6,878,816,1303.759071
Burnt Oak,Colindale,73,3021,2081,1306.42205
Colindale,Burnt Oak,64,5389,649,1306.42205
Rotherhithe,Shadwell,91,1589,7447,1309.334556
Shadwell,Rotherhithe,23,6741,321,1309.334556
Upminster,Upminster Bridge,49,727,568,1310.782634
Upminster Bridge,Upminster,205,780,1132,1310.782634
Blackwall,Canary Wharf,4,952,58772,1311.065348
Canary Wharf,Blackwall,19,14632,665,1311.065348
Bushey,Watford High Street,23,238,790,1314.250264
Watford High Street,Bushey,9,467,456,1314.250264
Embankment,St. James's Park,411,4081,13339,1314.513884
St. James's Park,Embankment,33,1809,10220,1314.513884
Snaresbrook,South Woodford,9,1780,766,1315.820736
South Woodford,Snaresbrook,14,4138,512,1315.820736
Liverpool Street,Tower Hill,245,31473,8286,1319.270879
Tower Hill,Liverpool Street,114,8501,61122,1319.270879
Ravenscourt Park,Turnham Green,9,1554,1515,1319.578764
Turnham Green,Ravenscourt Park,113,3650,1895,1319.578764
Wanstead Park,Woodgrange Park,4,763,242,1320.773293
Woodgrange Park,Wanstead Park,4,530,416,1320.773293
Stratford,Stratford International,486,59311,1546,1321.068117
Stratford International,Stratford,1461,2287,55954,1321.068117
Plaistow,Upton Park,38,3634,1642,1321.078643
Upton Park,Plaistow,40,5963,1049,1321.078643
Mornington Crescent,Warren Street,14,691,17309,1329.589799
Warren Street,Mornington Crescent,8,1913,2927,1329.589799
South Quay,West India Quay,3,1677,400,1330.458053
West India Quay,South Quay,7,162,4591,1330.458053
Bruce Grove,Seven Sisters,242,961,10191,1332.270048
Seven Sisters,Bruce Grove,60,18780,350,1332.270048
Marylebone,Regent's Park,46,6125,3364,1333.838375
Regent's Park,Marylebone,7,371,4250,1333.838375
Denmark Hill,Peckham Rye,8,1844,1070,1335.586611
Peckham Rye,Denmark Hill,67,2407,2612,1335.586611
Elephant & Castle,London Bridge,381,9325,29930,1335.734019
London Bridge,Elephant & Castle,385,32597,6427,1335.734019
Victoria,Westminster,227,37517,15466,1338.054936
Westminster,Victoria,20,1519,33251,1338.054936
Holland Park,Queensway,5,1542,1882,1338.056394
Queensway,Holland Park,5,2714,2063,1338.056394
Leicester Square,Oxford Circus,4,985,44368,1338.52148
Oxford Circus,Leicester Square,2,2784,8847,1338.52148
Covent Garden,Russell Square,7,424,5172,1339.374887
Russell Square,Covent Garden,38,1509,4355,1339.374887
All Saints,Canary Wharf,67,740,58772,1340.088733
Canary Wharf,All Saints,27,14632,444,1340.088733
Embankment,Lambeth North,7,4081,1319,1343.117388
Lambeth North,Embankment,18,1114,10220,1343.117388
Hackney Wick,Homerton,7,1477,1998,1343.350383
Homerton,Hackney Wick,14,3501,1263,1343.350383
Cockfosters,Oakwood,10,1000,423,1343.978346
Oakwood,Cockfosters,23,1772,262,1343.978346
Chigwell,Grange Hill,0,471,76,1346.912731
Grange Hill,Chigwell,3,654,148,1346.912731
North Wembley,Wembley Central,63,1087,1327,1348.156442
Wembley Central,North Wembley,34,2246,365,1348.156442
Charing Cross,Green Park,21,6491,26754,1349.434527
Green Park,Charing Cross,1,2066,7016,1349.434527
Cutty Sark,Mudchute,11,2122,302,1351.053547
Mudchute,Cutty Sark,25,1355,1748,1351.053547
Kensal Green,Willesden Junction,45,1849,4165,1352.248887
Willesden Junction,Kensal Green,17,5266,472,1352.248887
Arnos Grove,Bounds Green,22,3046,778,1354.24249
Bounds Green,Arnos Grove,25,4445,748,1354.24249
Mansion House,Moorgate,0,516,24574,1354.320884
Moorgate,Mansion House,4,4416,7815,1354.320884
All Saints,Devons Road,27,740,611,1358.772791
Devons Road,All Saints,25,1387,444,1358.772791
Southfields,Wimbledon Park,51,5219,596,1359.64977
Wimbledon Park,Southfields,29,1664,1351,1359.64977
Chancery Lane,Tottenham Court Road,55,1148,19126,1362.54537
Tottenham Court Road,Chancery Lane,46,1773,15391,1362.54537
Green Park,Knightsbridge,25,2066,6821,1363.842889
Knightsbridge,Green Park,75,1125,26754,1363.842889
Canonbury,Dalston Junction,6,2410,1289,1363.868646
Dalston Junction,Canonbury,6,3912,846,1363.868646
Rayners Lane,West Harrow,12,3452,122,1364.112436
West Harrow,Rayners Lane,7,1021,426,1364.112436
Great Portland Street,Marylebone,0,1136,4250,1365.117771
Marylebone,Great Portland Street,4,6125,6936,1365.117771
Barking,Upney,116,8200,485,1367.295482
Upney,Barking,477,1741,7004,1367.295482
Walthamstow Central,Wood Street,131,17499,404,1367.695901
Wood Street,Walthamstow Central,498,1367,5271,1367.695901
Beckton Park,Gallions Reach,2,293,557,1369.884013
Gallions Reach,Beckton Park,1,636,88,1369.884013
Holborn,Piccadilly Circus,27,1662,13641,1373.163276
Piccadilly Circus,Holborn,27,1037,22346,1373.163276
Camden Town,Euston,46,3330,16800,1373.59881
Euston,Camden Town,134,17796,6348,1373.59881
East India,West India Quay,5,1760,400,1375.128337
West India Quay,East India,1,162,1522,1375.128337
Boston Manor,South Ealing,14,1181,670,1383.797436
South Ealing,Boston Manor,72,2176,892,1383.797436
Kensal Green,Queen's Park,105,1849,2167,1384.625661
Queen's Park,Kensal Green,32,5249,472,1384.625661
Kenton,South Kenton,23,1049,261,1386.969231
South Kenton,Kenton,42,1073,768,1386.969231
Embankment,Tottenham Court Road,44,4081,19126,1388.346008
Tottenham Court Road,Embankment,9,1773,10220,1388.346008
Bayswater,Queensway,1,1571,1882,1388.371172
Marylebone,Paddington,262,6125,20198,1391.51462
Paddington,Marylebone,219,23381,4250,1391.51462
Roding Valley,Woodford,8,407,706,1392.430133
Woodford,Roding Valley,5,4868,84,1392.430133
Abbey Road,Star Lane,7,599,1052,1397.494085
Star Lane,Abbey Road,0,438,345,1397.494085
Pimlico,Victoria,100,3917,33251,1399.878151
Victoria,Pimlico,208,37517,5585,1399.878151
Aldgate East,Moorgate,65,3172,24574,1399.953415
Moorgate,Aldgate East,93,4416,7932,1399.953415
Swiss Cottage,West Hampstead,80,3531,5856,1401.087269
West Hampstead,Swiss Cottage,165,10371,2598,1401.087269
Bank and Monument,Borough,89,29494,3254,1401.322238
Borough,Bank and Monument,74,1346,78549,1401.322238
Blackwall,Westferry,4,952,1250,1405.472002
Westferry,Blackwall,9,2205,665,1405.472002
Watford High Street,Watford Junction,98,467,1367,1406.037532
Watford Junction,Watford High Street,24,491,790,1406.037532
Bush Hill Park,Enfield Town,22,1390,749,1406.866023
Enfield Town,Bush Hill Park,6,1803,176,1406.866023
King's Cross St. Pancras,Warren Street,197,28307,17309,1409.570876
Warren Street,King's Cross St. Pancras,39,1913,33330,1409.570876
St. James's Park,Waterloo,12,1809,23466,1411.109366
Waterloo,St. James's Park,529,67372,13339,1411.109366
Mansion House,Temple,12,516,6780,1412.305096
Temple,Mansion House,24,349,7815,1412.305096
Custom House,Royal Albert,7,785,684,1412.907361
Royal Albert,Custom House,4,650,845,1412.907361
Blackhorse Road,Tottenham Hale,344,8485,3239,1414.205731
Tottenham Hale,Blackhorse Road,176,8867,2955,1414.205731
Forest Hill,Sydenham,10,2430,515,1415.104991
Sydenham,Forest Hill,10,1826,608,1415.104991
Mansion House,Tower Hill,20,516,8286,1417.221865
Tower Hill,Mansion House,302,8501,7815,1417.221865
Cutty Sark,Deptford Bridge,19,2122,840,1418.506343
Deptford Bridge,Cutty Sark,34,2486,1748,1418.506343
Liverpool Street,Mansion House,37,31473,7815,1418.994106
Mansion House,Liverpool Street,4,516,61122,1418.994106
Canons Park,Stanmore,24,2315,983,1419.669476
Stanmore,Canons Park,16,2641,526,1419.669476
Preston Road,Wembley Park,78,2358,5759,1419.735166
Wembley Park,Preston Road,54,7070,411,1419.735166
Finchley Road & Frognal,Hampstead Heath,104,1136,2792,1420.533148
Hampstead Heath,Finchley Road & Frognal,51,915,1529,1420.533148
Blackhorse Road,Walthamstow Queens Road,46,8485,1267,1422.737035
Walthamstow Queens Road,Blackhorse Road,42,1001,2955,1422.737035
Green Park,Westminster,22,2066,15466,1423.780195
Westminster,Green Park,25,1519,26754,1423.780195
Lambeth North,Westminster,1,1114,15466,1424.049083
Westminster,Lambeth North,0,1519,1319,1424.049083
Embankment,Southwark,0,4081,10326,1425.855262
Southwark,Embankment,3,4882,10220,1425.855262
Becontree,Dagenham Heathway,77,2329,1108,1428.200777
Dagenham Heathway,Becontree,34,3372,456,1428.200777
Bond Street,Tottenham Court Road,23,2038,19126,1428.642871
Tottenham Court Road,Bond Street,26,1773,20967,1428.642871
Greenwich,Island Gardens,28,1374,691,1431.244971
Island Gardens,Greenwich,111,1413,1189,1431.244971
All Saints,Westferry,1,740,1250,1434.495387
Westferry,All Saints,4,2205,444,1434.495387
Surrey Quays,Wapping,13,3443,1066,1435.327074
Wapping,Surrey Quays,1,1251,1005,1435.327074
Aldgate,Aldgate East,0,2886,7932,1436.420782
Aldgate East,Aldgate,0,3172,7782,1436.420782
Aldgate,Bank and Monument,5,2886,78549,1436.91724
Bank and Monument,Aldgate,31,29494,7782,1436.91724
Finsbury Park,Holloway Road,43,24735,1696,1439.461829
Holloway Road,Finsbury Park,38,3047,6769,1439.461829
Goodge Street,Holborn,2,366,22346,1441.534028
Holborn,Goodge Street,1,1662,6457,1441.534028
Hammersmith,Shepherd's Bush Market,57,11818,416,1444.878758
Shepherd's Bush Market,Hammersmith,156,1798,18250,1444.878758
Baker Street,Euston Square,152,7444,8093,1446.779664
Euston Square,Baker Street,159,4926,14973,1446.779664
Hammersmith,West Kensington,54,11818,1345,1457.508231
West Kensington,Hammersmith,99,2715,18250,1457.508231
Gants Hill,Redbridge,11,5243,198,1457.743762
Redbridge,Gants Hill,8,2062,601,1457.743762
Charing Cross,Holborn,37,6491,22346,1460.546687
Holborn,Charing Cross,2,1662,7016,1460.546687
London Bridge,Mansion House,1,32597,7815,1464.219793
Mansion House,London Bridge,0,516,29930,1464.219793
Latimer Road,Westbourne Park,12,861,1347,1465.520462
Westbourne Park,Latimer Road,20,2416,1109,1465.520462
Totteridge & Whetstone,Woodside Park,21,2301,745,1477.101697
Woodside Park,Totteridge & Whetstone,14,3093,287,1477.101697
Gloucester Road,West Brompton,23,4779,5859,1477.510406
West Brompton,Gloucester Road,33,3831,5194,1477.510406
Hounslow Central,Hounslow West,3,2213,401,1479.083692
Hounslow West,Hounslow Central,22,2073,708,1479.083692
Brondesbury,Finchley Road & Frognal,18,1977,1529,1479.888765
Finchley Road & Frognal,Brondesbury,4,1136,712,1479.888765
Bank and Monument,Barbican,82,29494,9134,1484.117828
Barbican,Bank and Monument,26,1239,78549,1484.117828
South Harrow,Sudbury Hill,32,1516,277,1485.465659
Sudbury Hill,South Harrow,55,1337,387,1485.465659
Bow Church,Langdon Park,235,1663,1989,1490.834042
Langdon Park,Bow Church,129,1468,925,1490.834042
Clapton,Hackney Downs,11,1500,835,1493.117113
Hackney Downs,Clapton,2,843,427,1493.117113
Harlesden,Stonebridge Park,8,1500,729,1494.948777
Stonebridge Park,Harlesden,20,1482,1668,1494.948777
Lancaster Gate,Notting Hill Gate,19,3514,5490,1496.472552
Notting Hill Gate,Lancaster Gate,4,4945,1820,1496.472552
Russell Square,Tottenham Court Road,6,1509,19126,1503.495973
Tottenham Court Road,Russell Square,1,1773,5172,1503.495973
